BreedName,Group1,Temperment,AvgPupPrice,PopularityUS2017
Welsh Springer Spaniel,Sporting,"Affectionate, Loyal, Active, Friendly, Playful, Stubborn, Intelligent",1300,133.0
Welsh Terrier,Terrier,"Alert, Friendly, Intelligent, Spirited, Independent, Loving",1000,109.0
West Highland White Terrier Westie,Terrier,"Affectionate, Alert, Courageous, Intelligent, Friendly, Hardy, Independent",1050,42.0
Wheaten Terrier,Terrier,"Affectionate, Energetic, Faithful, Intelligent, Playful, Spirited",900,49.0
Whippet,Hound,"Affectionate, Friendly, Gentle, Intelligent, Lively, Quiet",1000,61.0
White German Shepherd,Herding,"Alert, Confident, Courageous, Curious, Intelligent, Loyal, Obedient, Watchful",1400,2.0
Wire Fox Terrier,Terrier,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900,99.0
Wire-haired Pointing Griffon,Sporting,"Gentle, Loyal, Proud, Trainable, Vigilant, Intelligent",700,65.0
Wirehaired Terrier,Terrier,"Alert, Bold, Fearless, Friendly, Keen, Quick, Intelligent",900,99.0
Xoloitzcuintle/Mexican Hairless,Non Sporting,"Aleret, Calm, Cheerful, Companionable, Loyal, Protective",700,143.0
Yellow Labrador Retriever,Sporting,"Affectionate, Alert, Cheerful, Energetic, Friendly, Gentle, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",1500,1.0
Yorkshire Terrier Yorkie,Toy,"Alert, Courageous, Energetic, Independent, Intelligent, Loyal, Playful",800,9.0
